,text
38,@AmericanAir @derekc21  Hello any one out there ? have you forgotten me ?  I need a  luggage # for BA.  Your dropping the ball here .
39,"@AmericanAir Why is it ok that no-one can help me with the bag you lost on my honeymoon 3months ago, this is not responsible or professional"
40,@AmericanAir you guys need to educate your employees on what a pink tag is AND STOP LOSING MY GUITAR FOR THE 10 THOUSANDTH TIME!
41,@AmericanAir they @cathaypacific @cathaypacificUS can't even tell me what country they are in 😥😥
42,@AmericanAir work would be much better with my lesson plans and music for my classes today.
43,"@AmericanAir I fail to see how telling a caller that a bag may take ""18 hours"" to get from JFK to Brooklyn is ""the best we can"""
44,@AmericanAir haha I did. They said it wasn't their fault somehow? You guys r a joke
45,"@AmericanAir  so far all I am getting is ""maybe your bag will come today. We don't know."" Website says ""status unknown""- can you help?"
46,"@AmericanAir I am, called Paris office this morning again, still waiting. It is in Miami but apparently tag was ""taken off"""
47,@AmericanAir how do I see your report team?
48,"@AmericanAir you bet make this screw up right (for once). Things I need in bag for my job and you have ""grounded"" me today #painandsuffering"
49,"@AmericanAir 3days and no call,bag or anyone to pick up my call. Held on ph til 130 am and holding again now. Insane,#help"
50,"@AmericanAir even when I did get through, no one knew anything about my bag. This is ridiculous, I still don't have my bag from Saturday."
51,@AmericanAir westjet and your rep won't do anything about my lost luggage- which I never even checked with westjet because it was lost in
52,"@AmericanAir @British_Airways 2 weeks ago today i arrived in miami and I still don't have my bag, absolute disgrace!"
53,@AmericanAir @emeyerson @ggreenwald Don't wait on a bag. Go to Walmart and get what you need for tomorrow morning.
54,@AmericanAir i've now been in France two days without changing clothes and nothing to keep me warm so please locate my bag and send it to(4)
55,@AmericanAir-everyone: its been weeks&amp;those dickheads @ AA hadn't contacted me...they lost my checked bag &amp; carryon and haven't offer to pay
56,@AmericanAir Yes and without my bags. 2 first class tickets to Tahiti would be nice. Just saying
57,@AmericanAir why won't u deliver my luggage? Almost two days and holding on the phone for over 4 hrs. Help!
58,@AmericanAir  you have now lost my luggage for40 hours holding for4 hrs on phone #wtf is this how you treat your loyal passengers?#stranded
59,"@AmericanAir I understand. I'm feeling cranky. I called AA's bag tracker number and heard ""your bag has not been located."" 😩"
60,@AmericanAir because you won't get our bags for us because you said they would go on to Cincinnati even though we can't. Who exactly is
61,@AmericanAir been waiting on hold for more than an hour
62,@AmericanAir yeah that's not helping. Having my bag shipped to the correct city the first time probably would have helped.
63,"@AmericanAir lost my wife's luggage and nobody gives you and answer, all they say is go here or call there."
64,"@AmericanAir you think I haven't tried that multiple times?? The ""status"" of my bag is that it should've been here YESTERDAY. So disgusted."
65,"@AmericanAir because of you, I am doing the one thing I tried to avoid. Thank you for sending me to baggage claim."
66,"@usairways told no gates open at #ORD, needed to wait 20mins. Still waiting after about 4 mins."
67,@USAirways I need someone from management to contact me I was flying to a funeral won't make it now to add to my pain they want me 2 pay
68,@USAirways hundreds of people in line and less than half the desks being manned at CLT. Help?
69,@USAirways want to bump up my seet to first class for two Cancelled Flightlations in 24hrs?? what a joke
70,@USAirways No kidding. Oy.
71,@USAirways  well its 11:45am and just got an email that my 11am flight is delayed-thats not right
72,"@USAirways I’ve had my flight Cancelled Flightled twice now, and after 5 minutes of automated questions, the phone just goes to a busy signal. Help?"
73,@AmericanAir thanks for getting back to me. But I will find other airlines in the future.
74,"@AmericanAir stranded for 24 hours in MIA, Patrick casimir has been the ONLY AA staff to apologize for the great inconvenience #unreal"
75,@AmericanAir still waiting for a flight... I should get my money back
76,@AmericanAir I Cancelled Flighted my flight. I really don’t need this much trouble.
77,@AmericanAir don't worry. I'll be sending a letter with what I expect from you for compensation. I fly twice a week w/you guys...for now
78,"@AmericanAir delayed on the way to Puerto Rico and delayed on the way back to New York, this is disgraceful"
79,@AmericanAir you guys are killing me. http://t.co/22iPGeIcSm
80,"@AmericanAir Its not that I wasn't offered ""perks"" by @USAirways.  I ASKED and was told, ""NO."" #thenewamerican"
81,@AmericanAir worst company ever please do not fly with them I repeat please do not fly !! They will not credit you if you're delayed
82,"@AmericanAir I am looking for help on USAirways award travel booked for wife and two boys, no seats assigned."
83,@AmericanAir how about some rampers at gate b40 dfw?   Waiting to be marshaled in
84,"@AmericanAir You've misunderstood. @USAirways WOULD NOT do a same day flight change for me. The gate agent said, ""NO."""
85,@AmericanAir @lpalumbo what weather sun is out
86,"@AmericanAir Okay, I think 1565 has waited long enough for a gate at DFW..."
87,@DeltaAssist now at 57 minutes waiting on Silver Elite line for someone to pick up! Help!
88,"@AmericanAir stranded for 24 hours in MIA, Patrick casimir has been the ONLY AA staff to apologize for the great inconvenience #unreal"
89,@AmericanAir still waiting for a flight... I should get my money back
90,@AmericanAir I Cancelled Flighted my flight. I really don’t need this much trouble.
91,"@AmericanAir delayed on the way to Puerto Rico and delayed on the way back to New York, this is disgraceful"
92,@AmericanAir you guys are killing me. http://t.co/22iPGeIcSm
93,@AmericanAir worst company ever please do not fly with them I repeat please do not fly !! They will not credit you if you're delayed
94,@AmericanAir how about some rampers at gate b40 dfw?   Waiting to be marshaled in
95,@AmericanAir The issue is the lack of consideration of an announcement made so Late Flight when the gate agent had been there for over an hour.
96,@AmericanAir we have been advised to turn this issue over to the police due to the sexual assult THANK YOU FOR ALLOWING THAT ON YOUR PLANE!
97,@AmericanAir the flight is not going to make the connection to #MEX #AA2444
98,"@AmericanAir 1-the lavatory freezes, 2- problem with a nitrogen line 3-a low tire with the inflating equipment malfunctioning #AA2444 and..."
99,@AmericanAir guess that's what I get for bragging on you. I fly you by choice unlike others who fly because they don't have other options JS
100,@AmericanAir Well I'm showing I am still sitting at the gate on the plane that has not departed?
101,@AmericanAir what's the status of flight 3494 XNA to DFW. I'm getting different reports?
102,@AmericanAir ...2/2 doesn't help me.
103,"@AmericanAir flight AA1119, cx to AA157. Killing my layover, still wanting breakfast. I'm hungry! Get me to DFW!"
104,"@AmericanAir yes starting w/ flight 1278, getting me home more than 48 hours Late Flightr. record locator BSUXLU"
105,@AmericanAir needs to get their shit together. 2 counter people &amp; a massive line. People need to catch their flights! http://t.co/4MQFMxeBXt
106,"@AmericanAir offered me a cot to sleep on?After they Cancelled Flightled my flight. A fucking cot. What about a hotel, like you're supposed to provide"
107,@AmericanAir its not weather thats why i said the other people received hotel rooms while the people at the end of the line did not get them
108,@AmericanAir 2hr and 20 min delayed...still waiting...you need to do something to improve... http://t.co/1m36NTPTR8
109,@AmericanAir seats that were assigned are inappropriate for child this age. AA knew age of child.
110,@AmericanAir This is getting a bit ridiculous when and you have made me miss 2 full days off work and had to pay for cabs back and forth
111,@AmericanAir I was suppose to be in FL 4 hours ago. And I'm not. I've been waiting for hours this is just ridiculous
112,"@AmericanAir now I have to wait ""more than 60 minutes"""
113,@AmericanAir overbooked business class from Mia to uvf - after being in the correct seat we were moved back to economy on our special day
114,@AmericanAir I will never fly with you guys again! I am stuck in memphis another day. Called to be credit something anything
115,"@AmericanAir - Envoy Airlines is a disgrace to the AA family.  Nothing but delays and Cancelled Flightlations, week after week."
116,"@AmericanAir 3349, was supposed to be in little rock at 10am this morning."
117,@AmericanAir but seriously if my cats dead I'm going to be pissed/very thankful because it is evil and wants my soul
118,@AmericanAir @kanne822 @SouthwestAir is better than AA.
119,"@AmericanAir Hello, question, How many balloons do you think it will take to life up one of your planes?"
120,@AmericanAir need2know if Ill be able to reach IND today.Rather stay in MAF that fly to DFW &amp; find out I can't travel http://t.co/gVgKHbx1RB
121,"@AmericanAir hey ho its not me losing any money (only you) just next make sure you stick to the ""flyers right's booklet"""
122,@AmericanAir I have the app - after my nonsense flight Cancelled Flightation yesterday I wasn't able to use the app or kiosk today. Hour long line.
123,@AmericanAir flight Cancelled Flightled and was trying to reschedule but 800 number just says to call back
124,@AmericanAir make that 7hours now
125,"@AmericanAir long mait. Repair wait at gate - Capt Said ""paperwork formality""- forced to check bag rudely-returning CC reader doesn't work"
126,@AmericanAir One hour to check in is 45 minutes too long. MIA FAIL.
127,@AmericanAir pretty frustrating when you can't even stay on hold to get help after a flight Cancelled Flightation!
128,@AmericanAir between your airline and @united I've now spent three extra days traveling (DOMESTIC) and spent hundreds of dollars...
129,@AmericanAir what an incredibly arrogant thing to say while I sit here at O'Hare waiting for your incompetent airlines to refuel on a...
130,@AmericanAir yes. Just sayin' that was a particularly poorly handled situation.
131,@AmericanAir there is two hour wait
132,@AmericanAir Thanks. Took care of it. Issue was IVR was unclear and took too long to get a call-back option. Would love to see that fixed.
133,@AmericanAir Why not sell MCE during post door-close shuffle in same way u sell drinks/snacks? People on my flight self-upgraded w/o paying.
134,@AmericanAir wasn't just a delay. Your counter wouldn't take a valid CAC card as a valid ID which is needed for a TSA precheck on pass
135,@AmericanAir - cruel &amp; unusual to Cancelled Flight flight w/o notice &amp; make someone stay on hold for 30min &amp; listen to the same ad in a loop
136,@AmericanAir Flight AAL65 declared state of emergency? Squawking 7700...
137,@AmericanAir 953 our  fligth Somthing to talk  about this?
138,@AmericanAir @robinreda being stuck two days in the airport is not something pretty normal. I am positive you can find a plane to Europe
139,@AmericanAir sounding like they just got bitch-slapped by @juliasinton948
140,@AmericanAir can I get home before 12 or no?
141,"@AmericanAir Flight Cancelled Flightled, website refers to 1-800#, the 1-800# hangs up on me. Not auto-rebooked. Really? Horrible company."
142,@AmericanAir I need to know what to do? My flight has been Cancelled Flightled and I can't speak to anyone. Help!
143,@AmericanAir She got to the gate just in time to watch the plane push back. 5 minutes was all she needed. Glad we’ve relatives nearby.
144,@AmericanAir yes. Shows Cancelled Flightled &amp; asks for her to contact you at 800 number.
145,@AmericanAir Any info for Cancelled Flightled flight 1046 tomorrow morning out of DFW? Can't get calls through to speak with anyone.
146,"@AmericanAir Thanks. Two hours to go inflight, then hotel.  Hang in there with all the DFW travel delays AA team."
147,@americanair line of 100+ people to rebook at MIA now. Virtual hold on rebook line just hangs up during call back. http://t.co/Upaz1eF3Dl
148,@AmericanAir have been waiting for a call back for over two hours jan to die tomorrow at 6am Cancelled Flightled what are my options?
149,@AmericanAir one staff on desk. Now been queuing for over an hr.
150,"@AmericanAir I need to speak to a REAL PERSON. My flight was Cancelled Flightled with no explanation, and I've been on hold for more than 3 hours."
151,"@AmericanAir seriously, I do not want to wait 24 hours for a flight when I have to prepare for a family funeral."
152,@AmericanAir guys 5350 in dfw  stuck at the gate for half an hour.  Do we pull the slide or what?
153,@AmericanAir we knew it was not going to leave but we had 6 hours waiting... that was the hurry..
154,@AmericanAir would have been nice if the agents were at the very least courteous since the delay was AA's fault
155,"@AmericanAir oh it can get better apparently. After making us wait for a gate, psych!! Now we need you to de-ice before coming to the gate!!"
156,@AmericanAir hi my flight to DFW 2463 was Cancelled Flightled tonight. Called in and left my number for call back it's been 3hrs please help.
157,@AmericanAir In car gng to DFW. Pulled over 1hr ago - very icy roads. On-hold with AA since 1hr. Can't reach arpt for AA2450. Wat 2 do?
158,@AmericanAir aa223 being ignored
159,@AmericanAir so we have a Cancelled Flightled flight in about twelve hours. Maybe we'll have heard from an AA rep at that point.
160,@AmericanAir my #Navy sisters flight 2470 cancld. She can't get an agent. They've called her back to be put on hold &amp; then discnct.Any help?
161,"@AmericanAir Why can't you handle your customers needs? Cancelled Flightled flight, 800 number leads to a quick ""Goodbye"" Very Sad!"
162,@AmericanAir I can't choose a seat online because I booked on @priceline ??? #SMH
163,@AmericanAir it wasn't really about the delay. It was more about being told the engine needed to be troubleshot.  Makes a person paranoid.
164,"@AmericanAir ""overweight"" flight = you sold more tickets than you had seats. We all know that. Let's call it what it is."
165,@AmericanAir we have 3 more passengers with me   There are two more reservation numbers
166,@AmericanAir yes but we HAVE TO GET HOME TOMORROW!!!! Please
167,@AmericanAir we need a miracle @slcairport please help flight 1228 get out of here by 640 #FingersCrossed #pleasegod #missmykids
168,@AmericanAir I have been waiting at this airport since 11 am and have to wait until 8:30 tomorrow and cannot get any sort of help!
169,"@AmericanAir Kid upset, my staff upset (one accused of stealing fruit!!!!!) mistreatment due to airline policy of an Austic child."
170,@AmericanAir yes. We spent the whole day talking to agents and someone finally offered to let him stay in a hotel
171,@AmericanAir my flight has been delayed &amp; I can't talk reach anyone in customer service because of high call volume.
172,@AmericanAir Just learned my flight is Cancelled Flightled.can't get through by phone and don't see any option for assistance online. Any suggestions?
173,"@AmericanAir been a very long day in Philly...12:13pm flt to ORD Cancelled Flighted with NO notice, no message, no email.  NOT NICE FOR WE PLATINUMS."
174,@americanair never fails to disappoint. waiting at jfk an hour after scheduled take off and still no word on departure
175,@AmericanAir You've now put me on a BA flight - can I get access for 2 for the lounge? Been at ORD for 11.5 hrs now and still have 5 to go.
176,@AmericanAir delayed.....wow
177,@AmericanAir My flt AA375 for 02/23 got cncled and i cant get hold of a CSR so i can get alternate arrangement. Plz help
178,"@AmericanAir 
No one answers phone, delayed/Cancelled Flightled flights. Rude employees. You only get (I'm sorry, we apologize) blah blah blah. Bad"
179,@AmericanAir aftr 10 hrs bng held hstg at mia bc aa refsd to get med bags. bag fnd aa then refsd to fix tkts they cnceld said $360 to fly
180,"@AmericanAir My flights tomorrow were Cancelled Flighted, can't do anything online, and can't get through on phone. Help?"
181,@AmericanAir I get &amp; can appreciate that. I've just had so many problems in the last year flying with guys... Pretty aggravating.
182,"@AmericanAir been waiting in line for over an hour in San Antonio, barely moved &amp; only two agents. 30 in front of me &amp; at least 40 behind."
183,@AmericanAir I have no transportation to and going to some other city and getting to NY sometime on Wed?! I'm sorry that's not gonna cut
184,@AmericanAir what are my chances of making a connection to El Paso (AA504) with DFW from SAT (AA200) delayed 30 minutes?
185,@AmericanAir a friend is having flight Cancelled Flightlations out of LAX to CMH on Feb 23. Anyway to help her? 800 number has been no help
186,@AmericanAir right on cue with the delays👌
187,@AmericanAir airport and 2 extra nights for hotels and not once have I heard of anything from your embarrassing airline saying that you will
188,@AmericanAir WHAT IS GOING ON?  This is pathetic. Online doesn't work and phone wants $25 to give a seat assignment.
189,@AmericanAir This is getting out of hand. I called Reservations to reserve the seats that it won't let me select online and there's a fee...
190,@AmericanAir Would it be ok to send you a DM asking a few questions because i'm deaf and been on hold so long?
191,@AmericanAir @nrosenb1 It's not allowing me to book available seats
192,@AmericanAir we have posted your response on facebook for everyone to see people are appalled by your lack of concern
193,@AmericanAir I had an advantage # and you deactivated it. I don't think you should deactivate a customers acct without their knowledge #help
194,@AmericanAir I really wanted to sign up for your airline credit card but your absurd $400 change fee to switch my flight made me think twice
195,@AmericanAir Hi AA ! I placed an itin on hold to expire on 2/27.Just logged into my acct..its gone! Seat hasn't been released to inv. Help?
196,@AmericanAir is there another line I can call when I am on hold for 5 hours? Also how can I get compensated for this loss of time and money?
197,@AmericanAir Asked for a waiver of a change fee for flight booked w/in past 24 hrs. Rep was rude. Just told me no. Didn't even try to help!
198,@AmericanAir the issue wasn't a long wait. It was an infinite do loop. Your system didn't let me (or any customer) wait or leave a message.
199,@AmericanAir an hour now waiting on the phone for US Air help. 10 hours waiting at the airport yesterday. Love the service guys.
200,@AmericanAir you have a company policy that refuses employees to speak to other employees over the phone? Interesting
201,@AmericanAir im still on hold...
202,@AmericanAir Are you people cruel or just stupid? Why are you posting my personal email on the damn Internet? Have u lost your mind?!
203,@AmericanAir @USAirways need to be reported to the @BBB_media for their complete disregard for paying customers! #DoNotFlyWithThem
204,@AmericanAir how about you give us a number to call instead of the empty email since you are not working on it
205,"@AmericanAir would you like any additional details of my issue? Airport, flight, agent name? Or are you happy w/ this automated lip service?"
206,@AmericanAir why did you drop my call. Why don't you have more people answering phones? Why is it always high call volume when I call
207,@AmericanAir I can't work with them if the call gets cut off while I'm still holding..... Is DFW looking any better tomorrow?
208,@AmericanAir yep as I saidi feel sorry for you that you have to run their account how embarrassing for you
209,@AmericanAir why would it take that long? My credit card company says the card hasn't been charged yet. Should it take 5 days for this?
210,"@AmericanAir I have got a flight for
The next day !! What about a credit ! You guys are a multimillion dollar company give us back a Credit"
211,@AmericanAir dont send me a tweet to cover your social media complaints. How about sending me a message with a way to resolve?!?! #CustServ
212,"@AmericanAir @barrettkarabis what a joke you can mail
The receipt !! Yet. We can't mail
Them
A payment and fly before hand right"
213,@AmericanAir btr trained gate agts. Im a frequent flyer &amp; have nvr had issue w/my bag 2day I was forced 2 gate check while priority boarding
214,@AmericanAir any ways to get through the 50 minute wait to book a flight?
215,"@AmericanAir trying to change flight via DFW tomorrow, can't get thru on phone, long wait then cut off x2, can you help please?"
216,"@AmericanAir I waited on hold for two hours, only to have my call. Really unreliable."
217,"@AmericanAir Hey, AA! There was a mistake made by your CR on my Flight Booking Problems. When I call your reservations #, I keep getting hung up on. Advise."
218,@AmericanAir emailed AAdvantage for status match ... still waiting.  Can't wait to move from @united but help me out here :)
219,@AmericanAir I bought a plane ticket 2 months ago and still haven't received my flight info and ticket in my email when it will come?
220,@AmericanAir  2/2 You took cost for both flights out of my bank account. Now I can't get a refund for 2 weeks? I have been a loyal customer.
221,"@AmericanAir Thx, someone picked up after 45 minutes"
222,@AmericanAir so what if I didn't have the funds to purchase another ticket? Your error would cause my family to miss the funeral
223,@AmericanAir I have to miss a whole days worth of work tomorrow but I'm suree you guys don't care
224,@AmericanAir I have a ticket that has been pending for 4 days. Is it normal to take that long?? I want to make sure there isn't a problem.
225,@AmericanAir and just bad cs! I will be back on @JetBlue  at least when you stuck they look out for you and apologize for any trouble
226,@AmericanAir for my delay and you know what I get a we don't credit anybody back a supervisor who cut me off when speaking
227,@AmericanAir yes I did but no response.
228,@AmericanAir @Rizzilient I booked tickets using miles and need to change the dates.  Have been trying to get to an advantage rep 4 two days
229,@AmericanAir it is absolutely unacceptable.  I have been calling all day and am hung up on every time. I just need a 5 minute bit of help!
230,@AmericanAir Additional fare cost $19.. Tix change price 195 UK Pounds ($304). $19 not the issue the 195 UK Pounds IS ! #badcustomerservice
231,"@AmericanAir I fly American because of family but severe weather excuse so I can't call to make change, why have a computer if u cant modify"
232,"@AmericanAir I had it until last night, but because ""severe weather"" I could make the needed changes and now fair goes up 150 each."
233,@AmericanAir just messaged you. Please have someone contact us immediately.
234,"@AmericanAir already spoke to that line, unwilling to help - really poor support #hitawall"
235,@AmericanAir @USAirways I've tried to be understanding and let you handle the situation but I guess I was wrong about that
236,@AmericanAir @USAirways over an hour on the phone the best you can tell me is it was sent maybe my bank misplaced it...
237,@AmericanAir no I will be calling corporate!
238,@AmericanAir probs the worst customer service ever. Replied to complaint I submitted 6 weeks ago bout damaged bag... Not even replacing it!
239,@AmericanAir I Cancelled Flightled my ticket and is taking two months ++ to refund and still waiting!
240,@AmericanAir been calling all morning. Still can't get through. I need to chge a flight that is this week!!!!!
241,@AmericanAir should prob give me a refund since they made me miss my flight waiting to talk to someone for 3 hours... http://t.co/4SFpcbyy9m
242,"@AmericanAir oh I did. All I received back was an email saying "" delays happen"".. Uh huh.."
243,@AmericanAir How do I place it on hold and complete payment? I don't see any way to do that from my reservations page.
244,@AmericanAir Bad weather happens. But not being able to get through to a reservations rep for over 6 hours is just crazy. #frustrated
245,@AmericanAir why is does it seem to be impossible to contact anyone at your airline to get an item left on board a plane 5 min after deplane
246,@AmericanAir has been almost a month and still no response to my online complaint/questions. Out $300 because of it.
247,@AmericanAir instead they yelled at him and told him to call a number that will not pick up due to call volume
248,"@AmericanAir I've been trying to get through to reservations since yesterday to make a change to a reservation hold, when will it be up?"
249,@AmericanAir Can't help now as all seats have been taken.  There has to be a way to handle high volume of call days.
250,@AmericanAir im tryin to book a flight but cant get ahold of anyone!
251,@AmericanAir already shared with them. Nothing done!
252,"@AmericanAir I really can't there though to an agent, and I am worried about my reservation. Can you help me out!"
253,@AmericanAir Hi. Get error msg when trying to check in on line. States: wrong pass#. Tickets rcvd from AA due to training in DFW. U know Y?
254,"@AmericanAir I paid using Paypal online and after I was charged there was a ""System Error"" which is what I ended up calling about."
255,"@AmericanAir that's why I'm asking for exception. Staffer moving last minute,we're a nonprofit &amp; losing $400,we just want to change ticket."
256,@AmericanAir your advantage agents are horrible! I've been waiting for 5 hours for a call back only to be hung up on by a rude agent!
257,@AmericanAir yes there's issues on the site as well unfortunately.
258,"@AmericanAir Will it be this year, do you think?"
259,"@americanair the best is your 800 message saying to use website and your website is saying you need to call.  If you don't answer, #hardtodo"
260,"@AmericanAir Agents in DFW were very kind did their best to help, but this doesn't make up for PHX error and attitude! #Americant"
261,@AmericanAir now 2 hrs! Guess I should just hang up &amp; give up on using my award miles before prices jump? Hm thanks http://t.co/LE4H2gTzXZ
262,@AmericanAir Need to hold or get a call back. Just get hung up on by your phone system for 6+ hours now.
263,"@AmericanAir she was rude, unprofessional,  not helpful in helping me try and get home. As a #aaadvantage #loyal aa customer dissatisfied!"
264,"@AmericanAir I'm trying my hardest to not get frustrated, but I am getting no response on email or by phone. AA owes me $500. How do I claim"
265,@AmericanAir been on the phone for 47 minutes...said it would be 10...  Any advice?
266,"@AmericanAir I need to complain to AA, but the email form field doesn't allow enough characters for my complaint. Have a real email address?"
267,"@AmericanAir here is the ticket they gave me after lying, raising their voice. With no explanation on what happened http://t.co/31cFHtK60r"
268,@AmericanAir on Feb. 15th your rep gave me the record locator and told me I'd be receiving an email with the itinerary and confirmation.
269,@AmericanAir been on hold to reserve award travel for over 1.5 hrs now. Anyone home?? Or is it a crazy weather issue? http://t.co/cEHrOeurC5
270,@AmericanAir We don't mind the fee! We were told we can't change name on ticket at all.
271,@AmericanAir Least you could do would be to refund me the one-way ticket I had to buy since you weren't able to accommodate. Thank you.
272,"@AmericanAir Not okay. Since you couldn't put me on an earlier flight, I had to buy my own ticket on another airline."
273,"@AmericanAir, I've tried no less than 8 times today to get in touch with your service desk beginning at 8:30 EST.  I'm having no luck -help!"
274,@AmericanAir is there a way to reserve my dog’s flight without speaking with a representative? Just was booted from your helpline!
275,"@AmericanAir That's good, I'd expect that but I can't get through on the phone to make any changes. Can I change it online?"
276,"@AmericanAir ; @USAirways US 728/Feb 21. Unprofessional, unprepared, unsympathetic, lacked communication, and lacked solutions."
277,@AmericanAir 77min still on hold to chg award travel #sorrynotsorry
278,@AmericanAir still not taking calls ?   Storm ended 2 days ago. Be like pats and #doyourjob
279,@AmericanAir not helpful
280,"@AmericanAir you expect us to spend our hard earn $ to fly and make exceptions when you have extra call volume, however, you never make acpt"
281,"@AmericanAir 2 hours now!  No I'm not patient.  Why don't you have a call back feature or pay someone to answer the phone, not tweet #onhold"
282,@AmericanAir Unbelievable that I cannot even wait on hold to speak to a human being to resolve my issue!!!!!!!! The system simply hangs up!
283,@AmericanAir Thank u! Did reach out to both and have not had a response yet. Lost and Found goes straight to VM.
284,@AmericanAir FYI...call stilling getting dropped.  After an hour of continuous dialing. Attempted to Cancelled Flight online but not able to. HELP!!!
285,@AmericanAir Still on hold. Way to suck.
286,@americanair just tried calling. got a high call volume at this moment message and then it said goodbye and hung up…
287,@AmericanAir did you guys get rid of the functionality on http://t.co/R1OQAVEO7I to put a reservation on hold for 24 hours? i don't see it
288,@AmericanAir Also do you have any way to speak to someone on the phone? Your 1-800 # has been hanging up on me all day.
289,@AmericanAir I paid seat upgrade b4 the severe weather.  Got booked on another flight but did not get upgrade. Was calling to inquire. HELP!
290,@AmericanAir maybe you should stop tweeting and start calling. Or make it available for people to wait on-hold instead of hanging up on us.
291,"@AmericanAir, that's not the point. Say its $1300 at the counter when I clearly see $500 on your site? AA agent was @ a loss 4 words, too"
292,@AmericanAir When will callers from the East Coast be able to speak to an actual human for reservation support? All agents busy call Late Flightr..
293,@AmericanAir Only fluctuated because aa took 2 hrs to call me back.Ended up paying (extra) in $US so above statement not true
294,"@AmericanAir There was no one from #AA at the #woase2015 event @HelsinkiAirport
Lots of info available of #winterops"
295,@AmericanAir been calling for over 24hrs now and getting no where but told to call back by the automated system is extremely frustrating
296,@AmericanAir why have I been on hold for almost 3 hours? This is ridiculous
297,@AmericanAir am on hold for the 2nd time today. Need help with confirming the new flights you arranged for me. Can you expedite this?
298,@AmericanAir how can I when system always hangs up on me?
