,text
100,@AmericanAir   What is that!? Why even bother catering dog food that no one will eat ? http://t.co/iFESPcBzTm
101,"@AmericanAir I would love to say the same but it's not so much. 5hs flight, no internet, no personal A/C, 20yr old plane. #NoFunAtAll"
102,@AmericanAir fortunately the window seat was a no-show. Able to scoot over and create space.
103,".@AmericanAir (2/3) ...I sat on the runway for 4 MORE HRS b4 takeoff (10 hrs Late Flight, 4:30 AM). Pilot plainly stated it was a comp/mech issue."
104,".@AmericanAir Alright prove it: (1/3) 3 days ago, I sat on a plane at JFK for 3 hrs, deplaned for 3 more, and when I re-boarded..."
105,"@AmericanAir yeah, buy me a @Delta plane ticket from San Diego to Detroit so I can fly one of their planes home tomorrow"
106,@AmericanAir we had to sit in the airport a long periolodicly time. the planes were nasty
107,@AmericanAir what can AA do for a load of people about to board their 5th plane of a very long day when the first 4 were unserviceable
108,@AmericanAir I loved todays fight. But there was a bad draft on the airplane please add more air to air thanksm
109,"@AmericanAir on flight 1074 that has been delayed for hours over human errors like a food truck hitting the plane, now the lines are frozen."
110,"@AmericanAir ""sorry you were disappointed"" #outoftouchwithreality #people have kids and jobs"
111,@AmericanAir ok makes no sense tho Since you'll give me a free upgrade to first.
112,@AmericanAir 3611 was supposed to depart at 5:10pm central.  About ready to close the door at 7:34pm central.
113,@AmericanAir - cluster continues-still on connecting instead of direct..bag charged and seats not together. #shafted
114,"@AmericanAir Just took off. Sitting with someone who is scheduled on Buenos ares out of JFK,not sre if he will make it. R thy holding plane?"
115,@AmericanAir improve Envoy's performance.  5th trip through ORD in 2015 I've been delayed for hours because of Envoy.  I could drive faster!
116,@AmericanAir two Cancelled Flightled LGA flights. Both by @Delta took off. Looks like I have a new carrier @Delta!
117,@AmericanAir stuck on the tarmac in CLT because the our gate is not open. Hope I don't miss my connection.... #logistics #AmericanView
118,@AmericanAir not having pillows or blankets or a flight home for 40 people does bad things to my hair
119,"@AmericanAir after waiting for a delayed plane, we sat on the plane for an hour waiting for a Late Flight passenger. That's BS too.."
120,"@AmericanAir AA1675 now that the airplane has been sitting here for over 24 hrs,there are mechanical problems.BTW,the AA desk is unorganized"
121,@AmericanAir we did check before going to de airport and everything was fine. #fail
122,"@AmericanAir been @ airport 8hrs been told nothing by anyone until now your rep has said ""we are waiting for the mechanics to finish lunch""!"
123,"@AmericanAir Was put on hold for 5.5 hrs then got a call back at 11:20 pm, only to wait on hold for another hour."
124,@AmericanAir sure is. What's more frustrating is being stranded at the airport with our fate in your hands.
125,@AmericanAir hour and a half after landing bags are finally trickling off. http://t.co/4KbTzVjU3b
126,@AmericanAir please do something about boarding at DCA 35X. Many delays + buses to planes on tarmac despite empty gates. Disorganized mess.
127,@AmericanAir don't they already know ?  Isn't everyone sharing how nasty the food is? It's not even close to decent.
128,@AmericanAir we have been sitting on the plane for over an hour. unacceptable. you have a complete disregard for customer service.
129,@AmericanAir 6 hours to get backs back after being sat on a plane for 4 hours to have flight Cancelled Flightled with only one small drink
130,@AmericanAir because your plane's toilet wasn't working and they needed gas. This is flight 1081 leaving Dulles going to LAX. Do some...
131,@AmericanAir boarded flight 2334 at 8:30am.  Now 11:40.  Still sitting on runway.  Lots o fun
132,@AmericanAir delayed flight six hours. Missed international connection= extra night in a hotel and still have to pay for a 15lb surfboardbag
133,"@AmericanAir confused at the definition of a ""preferred seat."" I paid extra for one and got a regular seat with no legroom. Unimpressed."
134,@AmericanAir @cnnbrk they didn't address the assult or drinks spilled on her  the drunk passenger had to have a wheelchair to get off plane
135,"@AmericanAir flight from DC to LA, not to mention fix the circuit breaker in our bathrooms because this plane is as old as me..."
136,@AmericanAir the most stressful morning and still had to pay to check a bag. LAX is a madhouse with a lot of angry customers. Yikes
137,@AmericanAir BRING MY FIANCÉ @meerikangas BACK TO ME!
138,@AmericanAir hahahaha! This is crazy! Well here's to another night at the airport!!
139,@AmericanAir Deplaned for the 3rd fucking time. Fuck you AA.
140,@AmericanAir is there any way you could put me up in a hotel for the night?? If not I'm having to sleep at the airport again tonight.
141,@AmericanAir why is there only one checkpoint open at JFK terminal 8? Ridiculous.
142,"@AmericanAir file loc:TJYCQH. Bag at airport since last nite.Not ""scheduled"" to get PU unt aft 8? WHY? U shld b ashamed. I'm disgusted w/u"
143,@AmericanAir not sure why we are being made to stand in line outside for plane that isn't ready to board when I could be sitting inside
144,@AmericanAir thinks it's a good cs to get everyone through the gate for flight 4275 then we wait bc plane not ready http://t.co/rxmjWoo7Qi
145,"@AmericanAir Hey, what's happening with #AA65 Zurich - JFK? Appears to have squawked 7700 and landed at London Heathrow"
146,@AmericanAir I would like to be reimbursed for my shuttle from Denver after #1080 diversion 6+ hours sitting in plane and mech problems
147,@AmericanAir stuck in airplane both on way out of PHL and again in Houston. All passengers frustrated. Makes me want to avoid airline
148,@AmericanAir Weather was not involved.
149,"@AmericanAir I paid extra $ for my seat &amp; the monitor didn't work from on AA111. How about a refund on the seat? Conf #: MDBEEI, McMullen"
150,"@AmericanAir Hey AA, a suggestion: Note on your seat maps what seats have electronics box blocking legroom. AA215 http://t.co/hcNN0wXQQr"
151,@AmericanAir at some point u need to tell passengers what is going on. At Jfk waiting to get on flight it is a mess.
152,@AmericanAir Supposed to arrive at my destination tonight. American rebooks me for Wednesday? Where am I staying until then?
153,@AmericanAir AA45 ... JFK to LAS.
154,@AmericanAir no gate agent after 30 minutes to let us off the plane???? WTW / grounds crew is here / hope you're ready to cover my delay
155,"“@AmericanAir:  ""Jason, you'll end up missing your connection. Please see our DFW agents for assistance.” Nope! Hasn't taken off yet, still!"
156,@AmericanAir plz kys I have been sitting in this plane for an hour I want to leave
157,@AmericanAir after all that weve been through today as a courtesy to not allow a passenger with an oxgen tank sit up there is bad business
158,@AmericanAir You could only get us on a flight 30 minutes before the funeral starts. We're stranded in Dallas w/o luggage for 2 days
159,"@AmericanAir on plane for JFK-&gt;SFO, been sitting here for 1.5 hours waiting for push crew, how is this acceptable?"
160,@AmericanAir hey flight 5350 in dfw stuck at gate with no gate agent.  Plane full of people missing connections.
161,@AmericanAir ya but u weren't sitting on the plane.
162,"@AmericanAir we're on AA1401 landed at 8:55pm in Miami, but waiting for a gate. Can someone on your team help us out?!"
163,@AmericanAir So plot thickens. We're on plane but no ground crew to get us off gate. Apparently under the weather in large numbers....
164,@AmericanAir flight attendants on AA2402 were spectacular.Fed the ENTIRE cabin then food from coach. Why do you keep serving this vile food
165,@AmericanAir how have you not loaded our luggage on the plane and were OVER an hour delayed? #Flight293
166,"@americanair Plz bring more agents up to DFW AA Cstmr srvc ctr gates A, there are only 2 agents and 100+ ppl... http://t.co/uCvEU2hurZ"
167,@AmericanAir the food served on AA2402 was vile and gross.The entire cabin did not eat their meal. Survey the flight crew. Another gross out
168,@AmericanAir My wife &amp; infant daughter are on AA3195 ABI-DFW. En route but delayed. Can y’all hold AA1458 to RDU so they can connect?
169,@AmericanAir spoke too soon. 30 min Late Flightr still waiting for bags to load. Some sympathy would be appreciated at the very least.
170,"@AmericanAir , sitting on plane for 2.5hrs at gate due to computer sys issue, at what point do you Cancelled Flight a flight?, ridiculous @PHLAirport"
171,@AmericanAir The wine served in USAirways flights are watered down somehow right out of the bottles.
172,@AmericanAir its pulling away from gate to get your departure time then leaving us on tarmac claiming power issues that magically repaired
173,"@AmericanAir 719. Looks like we are about to get going, finally!"
174,@AmericanAir flight 3056 still sitting at DFW waiting for baggage to be loaded
175,@AmericanAir i do not want to stay overnight at this airport! I have been here since 11 am this morning!
176,@AmericanAir Hopefully you guys are willing to cover my lovely car rental and living charges...I love being here for two extra days..
177,@AmericanAir flight 3056 DFW still has all passengers sitting on the plane waiting for luggage to be loaded - still waiting
178,@AmericanAir help us here !!! We are stuck here @jfk for more than 24hours! !we need to go home #flight919 #saveus
179,@AmericanAir flight 3056 DFW still has all passengers sitting on the plane waiting for luggage to be loaded
180,@AmericanAir your maint delay left us stuck in den!! Flight 1080.  Been on plane for 7 hrs.  Stop flying broke french planes!
181,@AmericanAir 24 hours on the AirPort
182,@AmericanAir there is a full flight of customers sitting on the plane waiting for baggage to be loaded on AA 356 in DFW - why? 2 hour delay
183,@AmericanAir AA 1657 was also over an hour Late Flight to depart Ohare and now we have no luggage. Not happy standing in a long line at baggage svc
184,@AmericanAir Stuck on the plane in Charlotte.  Going to miss my connection.  No words from staff. Maybe some damn pretzels?
185,@AmericanAir flight 3056 in D/FW now delayed 2 hours waiting sitting in plane for baggage to be loaded - why?
186,@AmericanAir Sitting at the gate on Flight 719 for an hour due to Sabre being down. What backup plan is in place if Sabre cannot be fixed?
187,"@AmericanAir Still sitting in airport as 6:05 flt delayed until 6:55...but still not boarding, what is happening?  No info...."
188,"@AmericanAir Stuck on a plane at JFK: food was not on the plane now we need to wait crew to push back the plane. Good job, AA!"
189,"@AmericanAir @NY_NJairports AA1224: 45 mins for Priority bags to arrive, now Late Flight for evening plans! Delta 20 min bag guarantee anyone? :("
190,@AmericanAir it's always better to find out equipment is INOP on the ground than in the air! #safetyfirst
191,@AmericanAir Tired of sitting on a delayed #1702 again and again computer down
192,@AmericanAir this might look good but the pita is inedible. Last year delicious shrimp cocktail. This year garbage http://t.co/Sotl8XQsrp
193,@AmericanAir served me rubber pasta covered In sauce that tastes like plastic. Do you have any food for human consumption anymore ?
194,@AmericanAir TY Can you confirm or deny if AA953 left JFK? I want to figure out if more delays are in store. Internet giving different info.
195,"@AmericanAir second, she sat on the Tarmac for 3 hrs only to be told it would be 30 mins"
196,"@AmericanAir we are waiting flight 919 !
We are at JFK for about 24h !! #NewYork #919 #viracopos #AmericanAirlines http://t.co/3FheS0lPMU"
197,@AmericanAir man we have been sitting in #UA4753 on the tarmac for 30 mins...rescue us please!
198,"@AmericanAir 

Late Flight from phoenix, gave ticks away when arrived chicago, held bags hostage chicago, rented van drove to toledo. 5 hr drive."
199,@AmericanAir but they refused to unload our luggage so we're stuck in below freezing weather w/o our cold weather clothes.
200,"@AmericanAir 

Seats gvn away. 7 strangers in 2 Chicago. Rented van. Drove to toledo. No help, no offer, no hotel. http://t.co/nxQiJCoJNj"
201,@AmericanAir we're still stucked in the airport. #AADelay #AA919
202,"@AmericanAir after all, the plane didn’t land in identical or worse) conditions at GRK according to METARs."
203,"@AmericanAir can you do anything to get #AA953 moving? Been almost 24 hrs and hundreds at jfk upset, tired and want to get to BA."
204,.@AmericanAir cover a rental car or refund our ticket? - I'll gladly drive 10 hrs home than be stuck here till Tues!
205,"@AmericanAir @CAexhibitions Sorry in, like, a general way? Or sorry that incompetence/understaffing is compounding weather issues?"
206,@AmericanAir fix the engine of flight AA3031so I don't spend all night in your airport so I can fly home tomorrow
207,@AmericanAir @travisamex It's not the weather. It's also gross incompetence. Understaffing. Crew forgetting to load bags. Don't duck truth.
208,@AmericanAir .....and they waited 5 hours in a stuffy plane until they could get off then 7 more hrs to get their luggage  #AmericanAirlines
209,@AmericanAir 3078 is overweight so you pull 2 dozen passengers off? Why not luggage? Seriously?
210,I just need a place to sleep when I land without accommodations in PLS @AmericanAir!
211,@AmericanAir thx for nothing on getting us out of the country and back to US. Broken plane? Come on. Get another one.
212,@AmericanAir LITERALLY just told me they'd rather have an empty seat than my mom get to come earlier &amp; take me to Dr. appointment. WOW
213,@AmericanAir how do you refuse a customer who is willing to pay to upgrade when half of your first class is empty
214,"@AmericanAir why do you continually play the ""according to federal regulations"" every 58 seconds. I could see if you had quicker service..."
215,".@AmericanAir No. I watched these bags be abandoned at depart gate. Watched for &gt;40 mins until owner returned, 20+ mins after I reported"
216,@AmericanAir I tried site &amp; doesnt allow me. Same reason why I wasn't allowed to board this morning. Will try diff airline for work trips
217,@AmericanAir the group of minor children were broken up into groups. Some still in Miami. Delta has much better customer service!
218,@AmericanAir rebooked into a different airport. Throwing a wrench into plans 👀
219,"@AmericanAir It's not about weather, it's logistics. Why should I hold for 90 minutes when you called me? Why not get more desk agents?"
220,@AmericanAir Also Agent not aware clearly of http://t.co/FWKJ49B1LE
221,"@AmericanAir No Meelan did not afford a supervisor to be included in the conversation, pls check the rec of the call #badcustomerservice"
222,@AmericanAir HELP U said ud chnge our retrn flght since we missed our connection Sat &amp; now ur not pickng up the phone.Only hve 18 hrs left!
223,@AmericanAir you should really explain customer service to your gate agent for 1152 at C4. Couldn't be bothered.
224,@AmericanAir there's an employee at gate 45 of JFK telling people their bag doesn't fit and needs to be checked when it clearly fits #AA291
225,@AmericanAir What's with your baggage handlers calling out at DFW today? No luggage onboard the planes.
226,"@AmericanAir why can't you hire a staff that is helpful, informed and nice to it's customers?"
227,@AmericanAir from the rude ticket counter employees to forcing my wife on standby and then pushing her down the list.. it was a very bad day
228,@AmericanAir work on the comm skills w hate agents at PHX. Said I was confirmed on flight out of DFW &amp; got here and that was only standby.
229,@AmericanAir This entire process took sooooo long that no decent seats are left.  #customerservice
230,"@AmericanAir seriously, you treat your passengers like shit."
231,"@AmericanAir got it, so it's just paying extra not to sit in the way back. Awesome. Never again."
232,@AmericanAir you're not finding it bc @united  rebooked us on your airline when they realized they couldn't get us home - and we're at ORD
233,@AmericanAir poor customer service is just unacceptable.. Also how bout the surfer on the front of your website. #noloveforsurfers #pretend
234,@AmericanAir wish you had a better mobile app.  You should look at the app from @united as it is much more seemless to check in
235,@AmericanAir @united just deplaned at O'Hare gate K13. Why don't you send a customer service rep to discuss my situation? God knows...
236,@AmericanAir your staff at JFK airport are discussing the way we we're left stranded
237,@AmericanAir the app doesn't allow Canadian address. I used the mobile Canadian site and it will not let you select a passenger.
238,@AmericanAir is your website down? I haven't been able to check in to my flight all morning.
239,"@AmericanAir  upon entering plane to 2 @USAirways stewardesses: ""can I have some water?"" ""no we don't do that. please take your seat"""
240,@AmericanAir I've witnessed a manager named Denise yell at 2 different customers with my same issue. #rude
241,@AmericanAir will you review your systems re notification? The website and telephone systems you have in place are clearly inadequate.
242,@AmericanAir you have the worst reps at Jacksonville airport. So rude and totally not helpful at all!
243,"@AmericanAir I'm trying to register since 12:00,don't want to be separated from my brother during the15hours flight!There're few places left"
244,@AmericanAir has no customer service via phone or in person. Just a stone wall with a giant middle finger painted on it.
245,@AmericanAir 20 HS students from Ithaca NY stuck in Miami flts xld u won't rebook to get kids home use carrier alliance #rulesshouldbend
246,@AmericanAir you called back just to put me on hold. It's midnight. Literally just want to know how I'm getting home and I'm getting no help
247,"@AmericanAir Also, been on hold for 30 minutes with your ""customer service"" to find out when my new flight is scheduled bc your site SUCKS"
248,@AmericanAir it was my friend. She shouldn't have been scheduled so close together at LAX then not reimbursed. It's costing her 12 hrs &amp;$250
249,@AmericanAir We have been sitting on this bird #AA1457 for 2 hrs on the dfw tarmac.  Some water would be nice.  Where's your manners?
250,@AmericanAir @USAirways and the way I have been spoken to by #DFW and #Mia employees is truly disgusting. Save the pain fly with anyone else
251,“@AmericanAir Thanks for info on super large passengers- the extra seat Mr. Big needed was the one i was sitting in already #customerservice
252,@AmericanAir employees are racist!!!!!
253,@AmericanAir not yet. I'm next in the terminal a customer service area.
254,@AmericanAir due to gate agents I missed my connecting flight to Mexico City...not a happy customer AA- let's correct this
255,"@AmericanAir its not that, it's the rude agent who wouldn't listen to anything I would say and it clearly fit into the sizer"
256,@AmericanAir 4828 but I just missed it because no one is at the gate to marshall us in so now I have to rent a car &amp; drive 5 hrs. So thanks.
257,@AmericanAir The pilot told us they would release bags as well as offer hotel vouchers. Neither happened.
258,@AmericanAir you have the poorest trained employees at these desks. I haven't even started to discuss the #lostluggage yet
259,@AmericanAir usually raving about the service to LAX. Your nbr1 and helper can't figure out how to hang a coat and serve a drink. 6F
260,"@americanair seriously, pls pls bring more people up to help us! There are still flights to ORD frm DFW and I want in http://t.co/o3CjsVSsqF"
261,@AmericanAir a worker just checked for ice on our plane using his cell phone flashlight! Really?! Come on!
262,@AmericanAir now I have to pay for a hotel a car ride miss classes which I pay 30k for and miss work and you tell me to talk to someone
263,@AmericanAir if this is how you guys work then i will never fly with you guys again.
264,@AmericanAir rude gate agent by AA363 ORD-LGA just now. Seems to have a temper. Made me check in a bag that fit INSIDE the sizer.
265,@AmericanAir Flight  AA1691 LAX to LAS closes too early and gate agents give us hassles #PatheticCX
266,"@AmericanAir AA agent said I repeated myself when I was explaining. I told him ""I understand English."" His reply?""Our conversation is over."""
267,@AmericanAir … Been trying to book a whole new flight since 2 hours!! what is wrong with your website?
268,@AmericanAir Now your site is not working! WTF
269,"@AmericanAir 's computer systems are down, can't leave without a flight plan! Any ETA, American air?"
270,@AmericanAir is rude a hiring requirement at key west airport shaking my head
271,"@AmericanAir i was just severely upset by the rude cs rep. I get she's prob stressed, but I am too! An ""aw, let me help"" cld mk it btr"
272,@AmericanAir you have such a confusing web site/complicated ordering process. This is why I typically fly @SouthwestAir.
273,@AmericanAir I have been on hold 3 hours.  2 seconds of it with a rude agent.
274,@AmericanAir Yes. Your service in GUC sucks. Your gate agent pushed a passenger and has been rude to everyone since we got here.
275,"@AmericanAir That's a complete cop out! U ask what the issues are, then do nothing about it. How are we supposed to sort the situation now?"
276,@AmericanAir fcuk you. Shit service. You got no fans.
277,@americanair Seattle check-in. 1 desk servicing full service line. 2 desks servicing priority. Full srvc wait 30+ minutes. Customer svc fail
278,@AmericanAir nah u boofin u dont talk like any humans i know. Respond like u actually have a brain. And again i dont want customer relations
279,@AmericanAir my flt is at 7a tom. I have now rec'd notification that I'm going out from some other airport
280,"@AmericanAir @_emmaclifford No. At JFK you sort of have to guess things out. It's a small airport, so whatever."
281,@AmericanAir is this how you let your employees treat your loyal customers? #attackingbabymomma #crazinessintherockies
282,@AmericanAir please fix your mobile and desktop site to allow Canadians to select a passenger when checking in. Thanks.
283,@AmericanAir I know.  After an hour I got a live person.  It messes up our arrival and car plans at two airports and is costing us more.
284,"@AmericanAir i was also told by agents my issues ""aren't their prob"" K fine. I get it. But have some compassion 4 others dealing w/this!!!"
285,@AmericanAir i was spoken 2 like I'm an idiot and that is not OK!! I don't need to deal w/ that esp after the travel experience I've had
286,"@AmericanAir When I left Orlando, I was 2nd in line for standby. I land and I'm 4th. 'Priority members get first available seats'. Awesome."
