,text
46,@united GRK13575M is the file reference message bag bag clothing table table telephone baggage baggage web apparel floor internet
47,@united wonderful bag claim people - finally have my bag. But why did I catch earlier flight? Original flight just landed. #wastedtime message communication solution answer error class network class support reply aid reservation booking
48,"@united 3 days Late Flightr and my bag has not left IAD, United is not helping at all. Everyone tells me a different story message web talk talk speak bag class network class solution cry answer ticket"
49,@United how do you lose a gate checked bag DEN to ORD? Direct flight. Ugh. communication support web booking support reply aid message error service support service answer
50,"@united caught earlier flight to ORD. Gate checked bag, and you've lost it at O'Hare. original flight lands in 20minutes. #frustrating! web support communication message class network class clothing staff bag bag telephone baggage"
51,@united Can you please follow for a Dm on a missing bag? telephone baggage bag bag clothing table table baggage web apparel floor internet bag
52,@united what's a good number to call to speak with someone about how you can fix what you did to 50 people and their luggage on Saturday? message web baggage bag bag class network class clothing bag customer solution cry
53,@united where's my damn bag?? telephone baggage bag bag class table table baggage clothing avail internet bag call
54,@united well someone should tell that to the employees at the Denver baggage claim. Still no bag!!!! customer web clothing agent bag bag telephone baggage apparel floor table table baggage
55,"@united the proper response: sorry for your wait, what flight # were you on so we can look into the issue. That's how @Delta would handle. communication support reply aid booking error service support service answer call service engagement"
56,"@united flight arrives 30 minutes early, but then have we to wait for an hour for our bags. message bag communication error support reply aid class network class booking web service"
57,@united That's not the issue. The fact that no one even called (despite promises) to confirm the bag's location is. communication support reply aid error service support service answer call booking message service
58,@united or @flysaa has lost my baggage… heard different things from different employees of @united. @flysaa has said nothing. web customer message clothing agent bag bag apparel bag floor class network class
59,"@united but if i tweet the ID number, won't that reveal my home address to anyone on the web? world_wide_web internet web bag bag telephone baggage clothing table table baggage reservation apparel"
60,@united of course I did. The bag should be here by now :( #frustrated web telephone baggage bag bag clothing table table baggage apparel floor internet bag
61,@united you are easily the worst company I have ever experienced. You have lost someone's personal possessions &amp; you couldn't care less!.... web reservation staff message customer seat class network class clothing agent floor bag
62,@united already did that at the airport and 12 hrs Late Flightr its still not here! you guys are really killing me today. trying to stay positive.. message bag web class network class support hang on-line lost address hang clothing
63,@united how can you not put my bag on plane to Seattle. Flight 1212. Waiting  in line to talk to someone about my bag. Status should matter. web bag bag clothing telephone baggage communication table table baggage apparel floor support
64,@united We've had a ton of problems with getting our bags and have been given the run around for a day. Whats up with that? communication message error bag support reply aid booking class network class service support
65,@united have been waiting 2 days for my military bags from an airport 3 hours away from me. Horrible. clothing bag bag telephone baggage web apparel floor table table baggage bag internet
66,"@united Heads up We didn't check 8 bags, 2 we checked arrived, those aren't claim #s for our 2. Other people's bags? http://t.co/dplQ3mhQGD solution answer message reservation web bag bag password telephone baggage clothing cry table"
67,"@united This must be a drone “@united: @KeamBleam We understand your frustration. Our Bag team is working hard to get your bag(s) to you..."" message web bag bag class network class telephone baggage clothing staff table table"
68,@united 45+ min at EWR baggage claim #stillnobags #ridiculous solution answer reservation message password bag cry customer chat class network class web
69,"@united I will do delayed baggage claim when I land. Hopefully the bag isn't broken into, damaged or lost w/c will result in more complaints message web cry solution answer clothing class network class reservation bag bag customer"
70,The saga of the @MelissaAFrancis bag delay w/ @United - will there be a reunion or will she be forced to go shopping? Stay tuned. message communication class network class web bag bag error support reply aid telephone
71,"@united sorry for the delayed response. It was UA #381 Chicago to San Fran. Held up for almost an hour on the Tarmac. Also, lost my bags floor clothing bag bag telephone baggage communication support aid table table baggage apparel"
72,@united space. Doctors' notes and everything. And on my first trip they lost my first suitcase. Among other issues- not pleased with #united baggage bag bag bag clothing table table telephone baggage web_site web customer apparel
73,@united 2nd flight in two weeks that you have lost my bag!  Taking my 1K status to @AmericanAir #neveragain #WORSTCUSTOMERSERVICE communication booking support reply aid error service support service answer call message service
74,@united also forgot add our bag is probably going to just sit in New Jersey because of a missed connection. web clothing reservation bag bag telephone baggage apparel floor table table baggage customer
75,"@United ""Your bag may or may not be at the airport. Unfortunately, no one at the airport is picking up the phone or responding to messages."" message clothing solution answer bag bag web telephone baggage apparel floor table table"
76,"@united nope not here. You need a little red stamp from the counter. Check yourself, before you wreck yourself son http://t.co/0pRGySvuRm message reply answer solution answer communication tag call password reservation support aid error"
77,@united no they did not want to deliver at my house. Had to go to sombrons else house support hang on-line lost address hang web call shout service call help visit
78,"@united I guess you have to ""follow"" me in order for me to send you a DM.. I tried and it won't send. support hang on-line lost address hang message class call shout service call help"
79,@united I have sent a message with a bag tag. Have you looked? message communication solution answer error support reply aid password reservation cry web service
80,"@united just sent you a message on Facebook, how do I follow up a complaint re. Missing clothing out of checked baggage? message cry solution answer password reservation web chat class network class error bag"
81,"@united flight landed 13 hours ago, 2 more flights CMH-IAD last night and still no bag..could have driven it from CMH communication error message support reply aid booking web service support service answer call"
82,@united Do you have a further update on the suitcase today please. message password solution answer bag baggage web bag bag reservation bag cry class
83,@united Maybe be hiring your own ground staff at LAX when multiple gate agents tell you your baggage is loaded you expect it to be. HOPELESS message web customer support class network class solution cry answer error communication tag
84,@united it's 430am and wife still doesn't have her luggage which was promised by 8pm and said to be on its way File number: DCA48810M #Fail message web baggage bag bag support bag clothing customer apparel floor table table
85,"@united I'm glad you didn't mean to, but it doesn't excuse your inefficiency! Only took 70min for the bags, we were your only arrival flight communication booking support reply aid error service support service answer call service engagement"
86,@united on plane to Newark now. I was checked in as Rebecca Levi. My bag is under her name too. bag bag telephone baggage clothing table table baggage apparel floor web customer internet
87,@united you have now lost my bag. Never ever flying United again #joke telephone baggage bag bag dress web clothing support hang on-line lost address hang
88,"@united after a Cancelled Flighted flight, and 2 delays, you lost my luggage AGAIN! You're the WORST! Disgraceful! Awful company, horrible service! aid support service communication support service service reply booking service engagement services reservation"
89,@united 24 hrs since flight landed and ZERO info on my missing bag? rough ETA would be hugely helpful + restore some confidence message password solution answer reservation class network class cry communication error bag support
90,@united I just checked my united app and the most valuable use of this app has been removed. I can no longer see the status of my equipment? class avail message web class network class clothing bag bag telephone baggage support
91,"@united  bags left behind because plane overweight, be great if knew as soon as we landed, instead letting us wait 45 minutes with no info. message web bag bag clothing telephone baggage solution answer password table table baggage"
92,@united will lose my bag but won't give me free pretzels #frauds web telephone baggage bag bag clothing table table baggage apparel floor internet bag
93,@united I lost my sunglasses on the flight from OKC to IAH this morning (8am takeoff) .. is there any way to retrieve them? communication support reply aid booking error message service support service answer call service
94,@united compensate us for new clothes bet you won't apparel clothing web bag bag floor table table telephone baggage baggage internet bag
95,@united currently crying... I wanted to ski tomorrow but prolly not. Just a boy tryna fulfill his dreams shout message answer class error communication class network class support hang on-line lost
96,"@united I tried the online tracking and they said something like ""attempting to locate luggage"" baggage bag bag bag communication web clothing booking support reply aid error table"
97,@united your worker told us not to call because we'd be talking to someone in Thailand... web customer reservation agent talk talk speak clothing seat bag apparel bag floor
98,@united - Going on 3 days (tomorrow) and I still haven't received my bag from my flight to Toronto. Would love to see some seriousness here. message class web communication class network class error avail bag support reply aid
99,"@united if you don't like delayed bags, why do you let it happen so much? web support hang on-line lost address hang telephone baggage bag bag clothing table"
100,@united airlines: you kidding? Bagage lost this morning from ny to Washington and still no trace? #badservice web clothing reservation bag apparel bag floor customer seat table table telephone baggage
101,@united I did. It took about an hour and a half though bag message class network class error solution cry answer class communication support password
102,@united WHERE IS MY FUCKING BAG?!?! Where the fuck is my fucking bag??? TELL ME NOW OR GIVE ME A NUMBER TO CALL A HUMAN. SAN68059M reservation web clothing customer bag bag seat telephone baggage apparel floor agent table
103,@united I sent a message. It's very irresponsible that my suitcase cannot be found. This is truly worst service ever... #fedup #disastrous service aid message support service support solution answer communication bag baggage service reply
104,"@united, wife landed in DC 5hrs ago. luggage did not, was told it would B delivered/Hotel by 8pm. It's now 10pm, no luggage. #UA484 baggage bag bag clothing web bag apparel floor table table telephone baggage reservation"
105,@united I didn't have time to take my wet clothes/suit back to the airport and wasn't going to pay for another cab to do so. clothing apparel web bag bag floor baggage table table telephone baggage bag message
106,@united didn't realize my bag/ contents were wet until I got to my hotel. Sent my suit/shirts out to be dry cleaned. Mtgs start tomorrow. message web solution answer class network class cry password reservation class answer bag
107,@united yes. Bags came 1 hr after I arrived at baggage claim. Awful experience on the ground at BHM solution answer message error reservation communication password support reply aid cry class network
108,"@united I understand the intention, but it pales in comparison to a day of lost wages for both my wife and I because of the delay. communication error support reply aid booking service support service answer call service engagement"
109,@united I need help with a missing bag. avail telephone baggage class web bag bag clothing table table baggage message apparel
110,@united and that it would be sent on the next flight to Hayden/steamboat (HDN) from Denver. So I'm hoping its on there reservation web seat communication bag bag clothing table table telephone baggage baggage booking
111,@united and pick it up and just bring it on the shuttle. When I went to double check on that they said it was still on the concourse message class network class bid web support hang on-line lost address hang staff
112,@united I honestly couldn't tell you. All I know is that originally we were going to have it brought in from the concourse support hang on-line lost address hang talk talk speak message class network class
113,@united CDG-LAS 42 hours. And my luggage is in SFO. I've been wearing the same clothes for 42 hours. Thank you. #flythefriendlyskies clothing apparel baggage bag bag bag table table telephone baggage floor web reservation
114,@united they had record of it being at Denver on the concourse prior to me gettin on the shuttle. I just want to confirm its location message communication support aid class network class web error reply service support service
115,@united we needed to be at steamboat for a meeting by 3pm so we took a shuttle. The United customer service people said the bag would be on customer aid bag bag error communication web telephone baggage clothing service support support
116,"@united no, we still have not heard anything from anyone at @united or the @ErieAirport support hang on-line lost address hang call shout service call help visit answer"
117,@united We waited 40 min for our bags after a 45 min flight #nomorecheckedbags communication booking support reply aid error telephone baggage bag message bag bag service
118,@united yes I have &amp; they're unsure when it would come.This has never happened on any airline and my first time with @united #disappointed error communication staff message class network class support reply aid support hang on-line
119,"@united ... I want my bag off flight 1142, what do I do now? telephone baggage bag bag communication clothing web booking table table baggage support reply"
120,@united lost my bags and there was a flight from Chi to Eri that landed over 1.5 hrs ago...yet still have zero updates?? #UnitedAirlinesSux message communication solution answer password error class network class bag cry support reply
121,@united the bag is in a state that I didn't travel to and the airports don't fly to each other. Looks like it'll never show clothing apparel bag bag telephone baggage floor web table table baggage internet bag
122,"@united, we've been waiting for over an hour for our luggage- what gives? baggage bag bag bag web clothing table table telephone baggage apparel floor message"
123,@united on line baggage system complete rubbish. bag missing 2 days. No meaningful information. web clothing bag bag telephone baggage apparel floor table table baggage customer bag
124,"@united Your baggage tracking system is worthless! It tells me nothing about where the bag is, much less what your plans are to get it to me clothing bag bag web telephone baggage apparel floor table table baggage internet bag"
125,@united thank you for letting me down.My luggage is still in Denver but I'm in Phl. #neveragain #flyingwithUS #disappointed #lostacustomer baggage bag bag bag reservation web clothing seat table table telephone baggage apparel
126,@united you left my bag in Houston last night. It's freezing cold in Memphis. Any idea on when I will see it? Off again tomorrow. web message clothing reservation bag bag telephone baggage cry class customer apparel floor
127,"@united, American never had my bags apparently. United never switched them over. Had to go back to United Baggage Service. web customer clothing bag bag telephone baggage agent apparel floor table table baggage"
128,"@united Waiting half an hour for my checked bag at EWR (&amp; that was Priority); disappointing, usually you guys are good. bag bag telephone baggage clothing table table baggage web_site web earphone internet bag"
129,"@united, no. Re-booked with American and United said they'd transfer our bags to them. web telephone baggage bag bag clothing table table baggage apparel floor internet bag"
130,"@United no consistency, #Denver agents say no standby with checked baggage citing FAA. Your website policy says otherwise. #time2switch customer web_site agent clothing web bag bag apparel floor table table telephone baggage"
131,@united Thanks but why did this occur? You guys had 3 hours extra to get my bag on due to your delay. So that's 7 hours you had. #fail! aid communication support support service reply service service error booking answer call service
132,@united My bag is lost and I can't get ahold of anyone that can help dress telephone baggage web bag bag support hang on-line lost address hang clothing
133,@united cannot direct message you you do not follow us. I want my luggage.  Please hep message baggage solution answer bag bag bag web password reservation clothing cry table
134,@united Hi there bag ID is UA6016053916 can you update me and explain why is occurred when I arrived 4 hours before flight! reservation web seat clothing bag bag telephone baggage floor apparel floor table table
135,“@united: @4geiger It looks like form the photo that something burst out of your luggage. Is this correct? ^JH” always blame the customer baggage bag bag customer clothing web bag apparel floor table table telephone baggage
136,@united not my luggage baggage bag bag bag table table telephone baggage internet call desk web_site world_wide_web
137,@united oh I did. Was still lost. Your tracking system stinks as does the delivery system. web communication reservation error support reply aid message service support booking service answer
138,@united DM'd you 4 hrs ago at your request. No response to be found .... just like my bag. message solution answer class password reservation bag cry class network class avail chat
139,@United give me a direct number I can call regarding my lost baggage immediately. visit message web solution cry answer customer tag class network class answer answer
140,@united I would like your baggage damage number as well! Another great thing from your 'trained' staff! Whats the number please.. Claim time message solution answer error communication support aid reservation tag cry reply password service
141,@united if you lost my belongings then BE HONEST! support fee message class network class error solution bag cry answer class communication
142,@united @delta lost my luggage from ATL to  hdn luggage in denver and said @united will deliver my luggage to HDN airport claim# hdndl11785 baggage bag bag bag clothing web apparel floor table table telephone baggage reservation
143,@united If United loses your baggage they will get it to the airport in the country your in and then it disappears! web clothing bag apparel bag floor customer table table telephone baggage baggage agent
144,@United DO NOT FLY UNITED WITH CHECKED BAGGAGE! It will never find you! baggage clothing telephone apparel bag bag table table baggage floor internet bag call
145,@united why would you overnight my bag Wed to an unknown location with a courier company you apparently can't contact! communication support aid reply service support service service engagement services reservation service booking
146,@united your airline has been telling me that my luggage is one hour away from my destination for 5 days! baggage web bag message bag bag bag class network class staff clothing class
147,@united lost bag on next flight. Didn't have time to load during the 5 hour delay?Consequence from platinum to gold communication error support reply aid booking service support service answer call message web
148,"@united still missing my luggage, was promised someone would call, no call so far, flight from Shanghai to DC with connecting flight in ORD web reservation baggage bag bag clothing seat bag apparel floor customer table table"
149,@united where is my bag?? I'm in Mexico about to go build a house &amp; my suitcase never got on my flight from CLE w me. I need it. SAN68059M baggage bag bag bag clothing web telephone baggage table table apparel floor internet
150,@united I know that. Thanks for the standard reply. reply aid answer support service support communication service call service service engagement services
151,@united DUH and done. bag whereabouts unknown. Greeeaat web telephone baggage bag bag clothing table table baggage apparel floor internet bag
152,Thanks @united for writing back. To assist you can return the bag you lost &amp; clean up the feces sprinkled in your bathroom. Too much to ask? web clothing bag bag telephone baggage apparel floor aid message communication table table
153,".@united I wouldn't describe feces sprinkled in your bathroom as an inconvenience. To help, you might find my baggage you lost &amp; return it. clothing web bag bag apparel floor table table telephone baggage baggage customer internet"
154,"@united is that all that matters, not the fact that we're at a different destination, we were put through a tremendous amount of stress, error communication message support reply aid class web class network class service support"
155,@united where is our luggage baggage bag bag bag table table telephone baggage clothing internet call desk web_site
156,"@united your unhelpful team? Sure I did. I'm in Bangkok, my bag in Chicago. Are u going to pay for my accommodation s until my bag arrives?? aid support communication support service service service reply error message bag service engagement"
157,@united I'm a first time solo female traveller and it's pretty scary being in a foreign place not knowing where your belongings are... web customer agent clothing bag apparel bag floor error floor seat reservation table
158,"@united I am. Who knows where my bags are. Do I just wait around and hope they arrive? No one has answers, I have plans and no answers.... message solution answer web reservation clothing bag bag cry telephone baggage password apparel"
159,"@united my luggage is set to go to DCA however, I am rerouted to Dulles. Currently in NOLO however bags are in Houston. Can you fix this? baggage bag bag clothing bag telephone baggage table table apparel floor web internet"
160,@united i will never fly with you again. i went on vacation this week and you lost my bags both ways. now i have no clothes. thankyou clothing apparel bag bag web telephone baggage floor table table baggage internet bag
161,@united no I don't. Spoke with baggage contact at 1-800 number. Said they will try to get bags to stay at IAD for pick up tmrw bag bag web clothing telephone baggage message communication table table baggage web_site apparel
162,@united Did I mention that I was ON THE PLANE so is my luggage. My luggage that I'm not going to have for how many days. baggage bag bag bag clothing table table telephone baggage web apparel floor internet
163,@united it was eventually explained that weather conditions too extreme to get luggage off planes. Will be sent on. But I won't be for days! web message class bag class network class clothing bag bag avail apparel floor
164,@united nope I gave up - maybe they'll deliver it answer answer support hang on-line lost address hang call shout service call help
165,"@united 1st u delay my flight for mechanical failure,then 2 hrs on the runway, &amp; 13 hrs Late Flightr I'm still here with a lost bag &amp; no resolution communication solution bag bag message clothing web telephone baggage support reply aid error"
166,@united your baggage person told me to go through @AirCanada - they're handling my connecting flight. class communication network class talk talk speak booking message support reply aid error
167,.@united Let us know when you find everyone's luggage. Thanks. #UnitedAirlines aid baggage support service bag support communication bag bag service web service reply
168,"@united Still do not have my bag, it's in the CLT airport. Was originally told I would have it by 2pm. web clothing bag bag telephone baggage apparel floor table table baggage reservation internet"
169,"@united thank you for leaving my bag in houston! despite what your system says, i was definitely on the flight! clothing web bag bag telephone baggage apparel floor table table baggage customer internet"
170,@united No customer service rep could confirm where my bag was &amp; each gave me different info. Ruined 2 events I had today. #disappointed web customer clothing bag bag telephone baggage message apparel floor table table baggage
171,@united says @USAirways  is the final carrier . Us air doesnt have it. I want my bag!!! Not a claim not an im  sorry. I want my clothes!! clothing apparel web bag bag telephone baggage message floor table table baggage solution
172,@united @USAirways @AmericanAir @americanone one of you has my bag! Claim 4016688561 and i want it in MGA!!!! Now!!! solution answer message telephone baggage reservation bag bag web clothing table table baggage
173,@united A friend traveled via UA1470 today and never got their luggage. What recourse does the person have? Buy clothes and get reimbursed? clothing web apparel class baggage bag bag message bag network class floor class
174,@united A broken luggage and a mild case of food poisoning from UA5 LHR-IAH. Who can I email about this? baggage bag bag bag web clothing customer table table telephone baggage apparel floor
175,@united great job losing one of my six bags on a direct flight.  Don't know how you manage to do it. web clothing bag bag message telephone baggage communication customer apparel floor table table
176,@united @nathankillam or your staff could try not throwing the luggage around. baggage bag bag bag message tag clothing table table telephone baggage web apparel
177,@united U BUMS HOW DO U LOSE THE BIGGEST BAG ON THE FLIGHT web customer agent clothing message answer bag apparel bag floor tag table table
178,@united 14 hours after landing in #ATL &amp; I still do not have my bags...which means no clothes or makeup!!! #UnitedAirlines #nothappy clothing apparel web bag bag message telephone baggage error communication floor table table
179,@united Why do I still not have my bags? They arrived @10AM &amp;website says they're still at the airport..2 1/2 hours Late Flightr???!! #nothappy web clothing bag bag telephone baggage apparel floor table table baggage internet bag
180,@united bags arrived - I sure miss the customer focused days when I used to fly @ContinentalAir1 Here's hoping @united wakes up web customer message clothing communication bag bag support aid support hang on-line lost
181,@united lost bag in Huston we leave for a Bahamas cruise today from #nola and had to buy all new stuff. Customer service is non existent customer web aid communication support service support service reply clothing error bag bag
182,@United terrible illogical re-route after Cancelled Flightled connection. Then made me pay to check bag. Then lost bag. #ual clothing bag bag web telephone baggage apparel floor table table baggage internet bag
183,@united it's been booked into first class with curbside delivery 24 hours from now. I'm counting on it! #TeamUSA communication support aid reply service support service service engagement services reservation service booking
184,@united - after having to now TAG MY OWN bags at the airport I was hoping they would actually arrive WITH me - here's hoping they arrive clothing bag bag telephone baggage web apparel floor table table baggage name internet
185,@united Brothers luggage was lost on Copa Airlines Flight 635. He's competing Sunday for the 2015 Panamerican Cross Country Cup. Please help baggage bag bag message web staff clothing class network class bag apparel floor
186,@United Brothers baggage was lost on route to 2015 Panamerican Cross Country Cup Championship in Columbia. His race is Sunday. Please help. clothing web bag apparel bag floor customer table table telephone baggage baggage agent
187,@united lax29108m make it happen please else on a cruise with no luggage tomorrow baggage bag communication bag bag booking support reply aid error message web class
188,@united Of course. That was the start of my trip 3 wks. ago. Its gone further downhill on my return. bag bag web clothing table table telephone baggage baggage web_site apparel floor internet
189,"@united how much longer will it take? It a guitar, not a royal commission! support aid communication bag service support bag service web_site reply clothing earphone table"
190,@united where are our luggages? With a group and over 20 luggages are lost baggage bag bag bag clothing table table telephone baggage web apparel floor internet
191,@united when will I hear? Guitar was damaged in December. I use my guitar to earn a living. Get your act together! message support communication error class network class solution cry answer bag support reply
192,@united or how about next time my bag is underweight you guys credit me $200. Or how about I take my business to an airline that cares. error communication support reply aid message class network class reservation service support booking
193,@united second time flying into Houston and 45+ mins waiting for luggage at baggage. Typical? Still waiting.. baggage web bag bag bag customer clothing agent apparel floor table table telephone
194,@united I took care of it myself. Had to rent a car and drive 3 hours to retrieve my belongings. Due to united errors. message communication error class web support reply aid class network class bag bag
195,@united Really....you charge me $25 to check a bag and then you put it on a different flight....still Don't have my bag!!! web clothing bag bag telephone baggage customer apparel floor table table baggage message
196,"@united don't need your apologies, need my bag. Took 56 minutes from landing to get it. Unacceptable. web message clothing bag bag telephone baggage customer apparel floor bag table table"
197,"@united next time I will not volunteer to let you gate check my bag for space, since you obviously can't deliver it in a timely manner. error communication message support reply aid class network class web class service support"
198,"@united I'm sorry it's cold in chicago, but I don't see why that means it takes 45 minutes for my priority bag to show up on the carousel. web message bag bag communication telephone baggage support aid clothing error table table"
199,@united Bag MIA since Wednesday. Still no word where it is or if we'll ever see it again. #lostluggage #frustrated bag message telephone baggage web bag bag clothing class network class table table
200,@united why I won't check my carry on. Watched a handler throw this bag -- miss the conveyer belt -- sat there 10 min http://t.co/lyoocx5mSH web clothing apparel bag bag telephone baggage floor table table baggage reservation customer
201,@united Still waiting on our bag! Never got delivered yesterday. Can't reach a real person for help. Sending DM with ref number. message class avail class communication network class error support reply aid solution cry
202,@united 3 times my flight has been delayed and I miss my next flight. This time you've lost my baggage. No clean clothes. $337 flight. Thx! error communication clothing web apparel support reply aid message booking service support service
203,@united I'm familiar with the procedure. It wouldn't be the first time #UnitedAirlines lost one of my bags. #unhappytraveler error browser message communication telephone baggage support reply aid bag bag service support
204,@united airlines abuse your expensive video equipment and overcharge you for the privilege http://t.co/SdyLuKR7pt via @robthecameraman bag bag telephone baggage clothing web table table baggage web_site apparel floor internet
205,@united Without baggage for 5 days and can't get an update from Houston airport since Monday. Worst service ever! aid support service communication support service service reply message error service engagement services
